controller,obstacle_count,success_rate,collision_rate,mean_return,mean_episode_steps,mean_planning_latency_sec,mean_action_variance,mean_action_delta_variance
SAC,1,1.0,0.0,-0.6887345909073096,4.3,0.0011336667987052352,0.2488869308541247,0.48521288164036935
IK,1,0.5,0.4,19.325663956861128,24.5,0.00010630839969962835,0.09749202843344609,0.0485074737306762
RRT*,1,0.2,0.3,-19.62386498508087,78,0.0004556290979962796,0.008245101509791719,0.005004639165463544
SAC,3,0.8,0.2,-7.791780828449697,4.3,0.00039999998989515007,0.24624860198245352,0.2988653956641601
IK,3,0.1,0.9,-52.55647640658591,4.1,4.8237614100798966e-05,0.033716753126354644,0.019551715753334656
RRT*,3,0.1,0.8,-51.954474341672395,20.1,0.0013206249044742436,0.011464209505755179,0.0068725228435405974
SAC,5,0.8,0.2,-8.209142027889373,5.8,0.0001871459127869457,0.3606845221427826,0.7214605730747586
IK,5,0.3,0.7,-18.62809136873231,5,4.77957830298692e-05,0.04632981487397003,0.02640625131943725
RRT*,5,0,0.8,-65.36445863614202,33.4,0.0012831250962335617,0.011121771548096297,0.006973654366435794
